,forcast_date,forcasted values,Correc_coefficient
0,2023/01,3.9085622966622826,1.0323339149034267
1,2023/02,3.778870059059579,1.011787074591241
2,2023/03,3.7253224479772,1.0186715888050248
3,2023/04,3.485584875967571,1.008079912713397
4,2023/05,3.3980840645623034,0.9733144545396886
5,2023/06,3.383121797860002,0.9935503232454488
6,2023/07,3.4462121881751258,0.9949933876546078
7,2023/08,3.376636783783654,0.9940586118819211
8,2023/09,3.4053296467425844,0.9957918170309464
9,2023/10,3.5395785979733487,1.0034167307986877
10,2023/11,3.692692336564234,1.0172941201704309
11,2023/12,3.8502006317896824,1.059957663603489
12,2024/01,3.8927443926461076,1.0320189411618332
13,2024/02,3.763082665169462,1.012706476185997
14,2024/03,3.709475716339491,1.0179403858244007
15,2024/04,3.4697227166437283,1.0083598666303673
16,2024/05,3.382240302456324,0.972620106177763
17,2024/06,3.3672977059273523,0.9925113282041703
18,2024/07,3.4304034024253163,0.9940340239021989
19,2024/08,3.3608327427608953,0.9926677526743067
20,2024/09,3.3895218349471348,0.9943973607574736
21,2024/10,3.5237804774035957,1.0022105096749925
22,2024/11,3.6768877050038147,1.0165260494376271
23,2024/12,3.834392752162657,1.0588360396738175
24,2025/01,3.87693505795416,1.0308483560245874
25,2025/02,3.747271784046084,1.011207253432636
26,2025/03,3.693667843751782,1.0168806167257163
27,2025/04,3.4539156262974804,1.0070308891454178
28,2025/05,3.366432279420922,0.9715505249792452
29,2025/06,3.3514886856473027,0.9915335050469625
30,2025/07,3.414593606142891,0.9930349998702072
31,2025/08,3.345022705928018,0.9917836091276806
32,2025/09,3.3737119892896876,0.993514174886454
33,2025/10,3.5079701404111874,1.0012772084548807
34,2025/11,3.661077698112283,1.0154760959354077
35,2025/12,3.818582909944921,1.057880215466284
36,2026/01,3.861125289506789,1.0299055671508506
37,2026/02,3.7314620940012473,1.0103519603792912
38,2026/03,3.6778580011772153,1.0159083244119254
39,2026/04,3.4381057440640603,1.0061302703329478
40,2026/05,3.3506224444739066,0.9705808450192523
41,2026/06,3.3356789012595893,0.9905393956099156
42,2026/07,3.398783861097718,0.9920465349115805
43,2026/08,3.329212973078511,0.9907645586188272
44,2026/09,3.3579022467477793,0.992494869407966
45,2026/10,3.4921604227794685,1.0002712455865141
46,2026/11,3.6452679637447813,1.0145011903368824
47,2026/12,3.802773167228623,1.0568802490729574
48,2027/01,3.8453155430504076,1.028902130256374
49,2027/02,3.715652343569936,1.0093252287729169
50,2027/03,3.662048258479008,1.01491274245421
51,2027/04,3.4222960033765175,1.0051156061658597
52,2027/05,3.3348127013889903,0.9695845675536964
53,2027/06,3.319869155611367,0.9895496221993789
54,2027/07,3.3829741134548685,0.9910552587264198
55,2027/08,3.313403224817354,0.9897814254692715
56,2027/09,3.342092498978017,0.9915118041410149
57,2027/10,3.476350673746784,0.9992846280097801
58,2027/11,3.629458215560585,1.0135063041348584
59,2027/12,3.786963419467702,1.0558920350067245
60,2028/01,3.8295057954791054,1.027914840169413
61,2028/02,3.699842596200159,1.008344140623374
62,2028/03,3.6462385107171706,1.0139233610846254
63,2028/04,3.4064862555127413,1.004131305205462
64,2028/05,3.3190029536467582,0.9685953713547257
65,2028/06,3.304059407999092,0.9885586943738325
66,2028/07,3.3671643659437196,0.9900647309965779
67,2028/08,3.2975934773375526,0.9887887297539472
68,2028/09,3.3262827514733018,0.990519090352762
69,2028/10,3.460540926306098,0.9982928599813656
70,2028/11,3.613648468076881,1.0125167375286723
71,2028/12,3.771153671962538,1.054900692024475
72,2029/01,3.813696047964328,1.0269232511887738
73,2029/02,3.684032848675164,1.0073509004513441
74,2029/03,3.630428763212053,1.0129323288828815
75,2029/04,3.3906765080127914,1.0031389204057561
76,2029/05,3.3031932061406466,0.9676042898535286
77,2029/06,3.2882496604863922,0.9875680738974252
78,2029/07,3.3513546184258916,0.9890740039994919
79,2029/08,3.281783729818135,0.987798579956972
80,2029/09,3.3104730039551478,0.989528945367487
81,2029/10,3.4447311787846977,0.9973024631988864
82,2029/11,3.5978387205576614,1.0115257546439502
83,2029/12,3.7553439244444067,1.0539101820785568
84,2030/01,3.797886300446684,1.0259328067369737
85,2030/02,3.6682231011580377,1.0063608956094312
86,2030/03,3.614619015693919,1.011941736195384
87,2030/04,3.374866760494395,1.0021486878312296
88,2030/05,3.2873834586225623,0.9666137102914187
89,2030/06,3.272439912968642,0.9865773715929991
90,2030/07,3.3355448709084015,0.9880833300549179
91,2030/08,3.265973982300726,0.986807752339797
92,2030/09,3.294663256437675,0.9885381164692546
93,2030/10,3.4289214312673897,0.9963117013386372
94,2030/11,3.582028973040243,1.0105351488263878
95,2030/12,3.739534176926933,1.052919450346715
96,2031/01,3.782076552929185,1.024942057568109
97,2031/02,3.6524133536405134,1.005370029399711
98,2031/03,3.598809268176445,1.0109510264924944
99,2031/04,3.3590570129769355,1.0011578822525842
100,2031/05,3.2715737111050873,0.9656229970940523
101,2031/06,3.2566301654511496,0.9855866910743009
102,2031/07,3.3197351233908963,0.9870926419857495
103,2031/08,3.2501642347832167,0.9858171051841139
104,2031/09,3.2788535089201685,0.9875474696546378
105,2031/10,3.413111683749875,0.9953210366759621
106,2031/11,3.566219225522734,1.0095444426192202
107,2031/12,3.723724429409427,1.0519287776627126
